location,INDICATOR,TIME,Value
AUS,TAXREV,2000,30.402
AUS,TAXREV,2001,28.876
AUS,TAXREV,2002,29.743
AUS,TAXREV,2003,29.84
AUS,TAXREV,2004,30.145
AUS,TAXREV,2005,29.849
AUS,TAXREV,2006,29.301
AUS,TAXREV,2007,29.423
AUS,TAXREV,2008,26.743
AUS,TAXREV,2009,25.425
AUS,TAXREV,2010,25.16
AUS,TAXREV,2011,25.792
AUS,TAXREV,2012,26.821
AUS,TAXREV,2013,26.974
AUS,TAXREV,2014,27.176
AUS,TAXREV,2015,27.793
AUS,TAXREV,2016,27.512
AUS,TAXREV,2017,28.542
AUS,TAXREV,2018,28.627
AUS,TAXREV,2019,27.711
AUS,TAXREV,2020,28.549
AUT,TAXREV,2000,42.285
AUT,TAXREV,2001,43.886
AUT,TAXREV,2002,42.697
AUT,TAXREV,2003,42.409
AUT,TAXREV,2004,41.958
AUT,TAXREV,2005,41.012
AUT,TAXREV,2006,40.408
AUT,TAXREV,2007,40.548
AUT,TAXREV,2008,41.391
AUT,TAXREV,2009,40.98
AUT,TAXREV,2010,40.958
AUT,TAXREV,2011,41.119
AUT,TAXREV,2012,41.767
AUT,TAXREV,2013,42.635
AUT,TAXREV,2014,42.699
AUT,TAXREV,2015,43.126
AUT,TAXREV,2016,41.753
AUT,TAXREV,2017,41.871
AUT,TAXREV,2018,42.244
AUT,TAXREV,2019,42.577
AUT,TAXREV,2020,42.232
AUT,TAXREV,2021,43.46
BEL,TAXREV,2000,43.849
BEL,TAXREV,2001,43.692
BEL,TAXREV,2002,43.913
BEL,TAXREV,2003,43.344
BEL,TAXREV,2004,43.471
BEL,TAXREV,2005,43.357
BEL,TAXREV,2006,43.218
BEL,TAXREV,2007,42.92
BEL,TAXREV,2008,43.593
BEL,TAXREV,2009,42.699
BEL,TAXREV,2010,42.882
BEL,TAXREV,2011,43.508
BEL,TAXREV,2012,44.331
BEL,TAXREV,2013,45.033
BEL,TAXREV,2014,44.75
BEL,TAXREV,2015,44.115
BEL,TAXREV,2016,43.288
BEL,TAXREV,2017,43.797
BEL,TAXREV,2018,43.82
BEL,TAXREV,2019,42.41
BEL,TAXREV,2020,42.494
BEL,TAXREV,2021,42.015
CAN,TAXREV,2000,34.673
CAN,TAXREV,2001,34.085
CAN,TAXREV,2002,33.081
CAN,TAXREV,2003,32.7
CAN,TAXREV,2004,32.713
CAN,TAXREV,2005,32.661
CAN,TAXREV,2006,32.725
CAN,TAXREV,2007,32.495
CAN,TAXREV,2008,31.235
CAN,TAXREV,2009,32.346
CAN,TAXREV,2010,31.007
CAN,TAXREV,2011,30.803
CAN,TAXREV,2012,31.177
CAN,TAXREV,2013,31.132
CAN,TAXREV,2014,31.266
CAN,TAXREV,2015,32.82
CAN,TAXREV,2016,33.258
CAN,TAXREV,2017,33.044
CAN,TAXREV,2018,33.495
CAN,TAXREV,2019,33.079
CAN,TAXREV,2020,34.258
CAN,TAXREV,2021,33.249
CZE,TAXREV,2000,32.335
CZE,TAXREV,2001,32.405
CZE,TAXREV,2002,33.275
CZE,TAXREV,2003,34.099
CZE,TAXREV,2004,34.495
CZE,TAXREV,2005,34.234
CZE,TAXREV,2006,33.842
CZE,TAXREV,2007,34.102
CZE,TAXREV,2008,33.298
