LOCATION,INDICATOR,TIME,Value
AUS,GGNLEND,2000,-1.291561984
AUS,GGNLEND,2001,-0.742956005
AUS,GGNLEND,2002,0.706620456
AUS,GGNLEND,2003,0.793983465
AUS,GGNLEND,2004,0.927317429
AUS,GGNLEND,2005,1.598351794
AUS,GGNLEND,2006,1.580837355
AUS,GGNLEND,2007,0.655470494
AUS,GGNLEND,2008,-3.838301509
AUS,GGNLEND,2009,-5.641184126
AUS,GGNLEND,2010,-4.559917033
AUS,GGNLEND,2011,-4.627657022
AUS,GGNLEND,2012,-2.84810003
AUS,GGNLEND,2013,-2.783378175
AUS,GGNLEND,2014,-2.23753392
AUS,GGNLEND,2015,-2.224081741
AUS,GGNLEND,2016,-1.585146473
AUS,GGNLEND,2017,-1.210386213
AUS,GGNLEND,2018,-1.383634035
AUS,GGNLEND,2019,-7.013995153
AUS,GGNLEND,2020,-9.162192808
AUS,GGNLEND,2021,-4.270109235
AUT,GGNLEND,2000,-2.404702329
AUT,GGNLEND,2001,-0.661575545
AUT,GGNLEND,2002,-1.381174923
AUT,GGNLEND,2003,-1.786425452
AUT,GGNLEND,2004,-4.804986015
AUT,GGNLEND,2005,-2.508349601
AUT,GGNLEND,2006,-2.535448127
AUT,GGNLEND,2007,-1.354622684
AUT,GGNLEND,2008,-1.495265332
AUT,GGNLEND,2009,-5.329706203
AUT,GGNLEND,2010,-4.441267059
AUT,GGNLEND,2011,-2.553565994
AUT,GGNLEND,2012,-2.189070595
AUT,GGNLEND,2013,-1.950077521
AUT,GGNLEND,2014,-2.729148208
AUT,GGNLEND,2015,-1.009988607
AUT,GGNLEND,2016,-1.534591163
AUT,GGNLEND,2017,-0.81611835
AUT,GGNLEND,2018,0.170146401
AUT,GGNLEND,2019,0.567510791
AUT,GGNLEND,2020,-7.987888909
AUT,GGNLEND,2021,-5.775902208
AUT,GGNLEND,2022,-3.193399705
BEL,GGNLEND,2000,-0.07929747
BEL,GGNLEND,2001,0.232848557
BEL,GGNLEND,2002,-0.043695305
BEL,GGNLEND,2003,-1.864152301
BEL,GGNLEND,2004,-0.238697095
BEL,GGNLEND,2005,-2.714993278
BEL,GGNLEND,2006,0.239580626
BEL,GGNLEND,2007,0.066439884
BEL,GGNLEND,2008,-1.09534487
BEL,GGNLEND,2009,-5.430989099
BEL,GGNLEND,2010,-4.087706095
BEL,GGNLEND,2011,-4.330078267
BEL,GGNLEND,2012,-4.318382328
BEL,GGNLEND,2013,-3.129377927
BEL,GGNLEND,2014,-3.055682174
BEL,GGNLEND,2015,-2.413670796
BEL,GGNLEND,2016,-2.36311262
BEL,GGNLEND,2017,-0.683833124
BEL,GGNLEND,2018,-0.869860459
BEL,GGNLEND,2019,-1.984013825
